Nr;Name;Anzahl
1;meine;11
2;nicht;10
3;hatte;9
4;einem;8
5;einer;7
6;drogen;7
7;immer;7
8;frankfurt;6
9;schon;6
10;weiter;6
11;viertel;5
12;besser;5
13;wieder;5
14;einen;5
15;bahnhof;5
16;jemand;5
17;crystal;5
18;zimmer;5
19;komme;5
20;bahnhofsviertel;4
21;wollte;4
22;kommen;4
23;zurück;4
24;meinem;4
25;erzählte;4
26;dealer;4
27;minuten;4
28;hotelzimmer;4
29;straße;4
30;passiert;4
31;diese;4
32;jetzt;3
33;damals;3
34;weitere;3
35;therapie;3
36;schnell;3
37;ganze;3
38;situation;3
39;kaufen;3
40;geben;3
41;crack;3
42;gramm;3
43;preis;3
44;hielt;3
45;waren;3
46;stellte;3
47;stunde;3
48;beide;3
49;machte;3
50;durch;3
51;vertragshandy;3
52;frankfurter;2
53;andere;2
54;genau;2
55;diesem;2
56;alles;2
57;passierte;2
58;eines;2
59;würde;2
60;wartete;2
61;antrag;2
62;gestellt;2
63;wohnte;2
64;meinen;2
65;sondern;2
66;freundin;2
67;total;2
68;einfach;2
69;gebucht;2
70;mache;2
71;leben;2
72;heroin;2
73;kannte;2
74;dachte;2
75;kostet;2
76;später;2
77;nächsten;2
78;stunden;2
79;plötzlich;2
80;zwischen;2
81;deshalb;2
82;hause;2
83;fahre;2
84;tages;2
85;albaner;2
86;musste;2
87;warten;2
88;jessi;2
89;setzte;2
90;sofort;2
91;jemanden;2
92;kenne;2
93;besseren;2
94;meinte;2
95;sitzen;2
96;könnte;2
97;jemandem;2
98;heraus;2
99;tauchte;2
100;pfeife;2
